time,TGFb,TGFbR,TGFb_TGFbR,TGFb_TGFbR_P,I_Smad_TGFb_TGFbR_P,Smad,Smad_P,CoSmad,Smad_P_Smad_P,Smad_P_CoSmad,Smad_N,Smad_P_Smad_P_N,Smad_P_N,Smad_P_CoSmad_N,CoSmad_N,I_Smad
0.0,0.100499,0.100499,0.0092247,0.0044142,0.00048893,4.11804,0.0034263,3.43163,0.00015151,0.0068715,1.91189,0.0019314,0.008458,0.022848,1.59352,0.024731
1285.71,0.0116455,0.0116455,0.0501713,0.0443618,0.000754461,3.75262,0.0344335,3.11522,0.00152268,0.069058,1.84418,0.0184258,0.0845962,0.229623,1.61437,0.0281039
2571.43,0.0117101,0.0117101,0.0602071,0.0318494,0.00291019,3.7665,0.0293747,3.12564,0.00113111,0.0596145,1.84514,0.0194102,0.085002,0.228292,1.61472,0.0947285
3857.14,0.0119151,0.0119151,0.0663213,0.0240154,0.00426694,3.84949,0.022287,3.19495,0.000655046,0.0461709,1.86161,0.0117118,0.0658854,0.176796,1.61041,0.181535
5142.86,0.0120034,0.0120034,0.068675,0.0210159,0.00478603,3.89811,0.0187263,3.23657,0.000467808,0.0391681,1.87128,0.00788603,0.0540506,0.14526,1.60753,0.23313
6428.57,0.0120298,0.0120298,0.0692702,0.0202573,0.00491365,3.91676,0.0175046,3.25278,0.000411932,0.0367097,1.875,0.00658912,0.0493654,0.132848,1.60631,0.248542
7714.29,0.0124395,0.0124395,0.0916366,0.00455659,0.000573707,4.00002,0.00736666,3.32306,0.000164046,0.0163875,1.88917,0.00364561,0.0333075,0.0877189,1.60303,0.247719
9000.0,0.0126533,0.0126533,0.0927074,0.0044142,0.00048893,4.10138,0.00352446,3.41595,0.000151513,0.00713425,1.90883,0.00193266,0.00967665,0.0259465,1.59506,0.217202
10285.7,0.0126473,0.0126473,0.0916448,0.00451489,0.000505824,4.1143,0.00345405,3.4284,0.00015151,0.00692082,1.91134,0.0019314,0.00849784,0.0229565,1.59371,0.14923
11571.4,0.0118636,0.0118636,0.059797,0.0321464,0.0027379,3.90004,0.0224802,3.24047,0.000641886,0.0464115,1.87324,0.00627223,0.049809,0.136128,1.60554,0.0879739
12857.1,0.0117738,0.0117738,0.0605719,0.0313126,0.00296099,3.81727,0.0265045,3.16832,0.000911459,0.0542305,1.85594,0.0136551,0.0719451,0.194038,1.61168,0.0976363
14142.9,0.0118851,0.0118851,0.0650463,0.0256247,0.00397676,3.8459,0.0230394,3.19206,0.000696525,0.0476206,1.8611,0.0117705,0.0662889,0.178167,1.61047,0.15856
15428.6,0.0119759,0.0119759,0.0677977,0.0221248,0.00458956,3.88648,0.0197135,3.2266,0.000515156,0.0411226,1.86904,0.00866523,0.0567551,0.15255,1.60819,0.212079
16714.3,0.0120157,0.0120157,0.0688649,0.0207696,0.00482405,3.90913,0.0180743,3.24617,0.000437009,0.0378542,1.87351,0.00707452,0.0512132,0.137783,1.60679,0.237804
18000.0,0.0120256,0.0120256,0.0690428,0.0205409,0.00486047,3.91697,0.0175916,3.25303,0.000415199,0.0368759,1.87508,0.00653702,0.049213,0.1325,1.60626,0.242315
