times,Cell,Cerr,Cell005,Cerr005,Cell010,Cerr010,Cell040,Cerr040,Cell100,Cerr100
0,9.819,6.546,9.819,6.546,9.819,6.546,9.819,5.455,9.819,6.546
3,54.55,13.092,51.277,14.183,46.913,13.092,27.275,10.91,27.275,10.91
6,130.92,10.91,97.099,10.91,84.007,14.183,51.277,10.91,28.366,9.819
9,206.199,12.001,162.559,12.001,101.463,13.092,58.914,12.001,30.548,8.728
12,250.93,12.001,216.018,14.183,118.919,15.274,82.916,10.91,31.639,12.001
15,283.66,12.001,238.929,10.91,139.648,13.092,92.735,10.91,33.821,12.001
